image_id,path,dataset,shear_stress,supplementation,replicate,channel_1,channel_2,channel_3,channel_4
EGM2_regular_6dyn-21,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-21.tif,S-BIAD1540,6dyne,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-22,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-22.tif,S-BIAD1540,6dyne,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-23,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-23.tif,S-BIAD1540,6dyne,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-24,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-24.tif,S-BIAD1540,6dyne,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-25,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-25.tif,S-BIAD1540,6dyne,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-26,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-26.tif,S-BIAD1540,6dyne,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-27,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-27.tif,S-BIAD1540,6dyne,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-28,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-28.tif,S-BIAD1540,6dyne,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-29,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-29.tif,S-BIAD1540,6dyne,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-30,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-30.tif,S-BIAD1540,6dyne,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-71,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-71.tif,S-BIAD1540,6dyne,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-72,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-72.tif,S-BIAD1540,6dyne,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-73,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-73.tif,S-BIAD1540,6dyne,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-74,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-74.tif,S-BIAD1540,6dyne,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-75,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-75.tif,S-BIAD1540,6dyne,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-76,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-76.tif,S-BIAD1540,6dyne,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-77,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-77.tif,S-BIAD1540,6dyne,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-78,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-78.tif,S-BIAD1540,6dyne,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
